,id,name,year,run_time,genre,rating,about,director,actors,votes,gross
106,107,A Woman Under the Influence,1974,155 min,"Drama, Romance            ",8.2,"ough wife and mother Mabel is loved by her husband Nick, her mental illness places a strain on the marriage.",John Cassavetes ,"Gena Rowlands, Peter Falk, Fred Draper, Lady Rowlands",23565,$13.34M
107,108,A Face in the Crowd,1957,126 min,"Drama, Music            ",8.2,male radio reporter turns a folk-singing drifter into a powerful media star.,Elia Kazan ,"Andy Griffith, Patricia Neal, Anthony Franciosa, Walter Matthau",14829,
108,109,Ben-Hur,1959,212 min,"Adventure, Drama, History            ",8.1,"r a Jewish prince is betrayed and sent into slavery by a Roman friend, he regains his freedom and comes back for revenge.",William Wyler ,"Charlton Heston, Jack Hawkins, Stephen Boyd, Haya Harareet",228009,$74.70M
109,110,Who's Afraid of Virginia Woolf?,1966,131 min,Drama            ,8,"tter, aging couple, with the help of alcohol, use their young houseguests to fuel anguish and emotional pain towards each other over the course of a distressing night.",Mike Nichols ,"Elizabeth Taylor, Richard Burton, George Segal, Sandy Dennis",72618,
110,111,High Noon,1952,85 min,"Drama, Thriller, Western            ",8,"wn Marshal, despite the disagreements of his newlywed bride and the townspeople around him, must face a gang of deadly killers alone at high noon when the gang leader, an outlaw he sent up years ago, arrives on the noon train.",Fred Zinnemann ,"Gary Cooper, Grace Kelly, Thomas Mitchell, Lloyd Bridges",100550,$9.45M
111,112,Laura,1944,88 min,"Drama, Film-Noir, Mystery            ",8,lice detective falls in love with the woman whose murder he is investigating.,Otto Preminger ,"Gene Tierney, Dana Andrews, Clifton Webb, Vincent Price",44650,$4.36M
112,113,Notorious,1946,102 min,"Drama, Film-Noir, Romance            ",8,man is asked to spy on a group of Nazi friends in South America. How far will she have to go to ingratiate herself with them?,Alfred Hitchcock ,"Cary Grant, Ingrid Bergman, Claude Rains, Louis Calhern",96996,$10.46M
113,114,Le samouraï,1967,105 min,"Crime, Drama, Mystery            ",8.1,r professional hitman Jef Costello is seen by witnesses his efforts to provide himself an alibi drive him further into a corner.,Jean-Pierre Melville ,"Alain Delon, François Périer, Nathalie Delon, Cathy Rosier",48165,$0.04M
114,115,My Man Godfrey,1936,94 min,"Comedy, Drama, Romance            ",8,atterbrained socialite hires a vagrant as a family butler - but there's more to Godfrey than meets the eye.,Gregory La Cava ,"William Powell, Carole Lombard, Alice Brady, Gail Patrick",22511,
115,116,The Wizard of Oz,1939,102 min,"Adventure, Family, Fantasy            ",8,thy Gale is swept away from her home in Kansas to the magical Land of Oz in a tornado and embarks on a quest with her new friends to see the Wizard who can help her return home and help her friends as well.,"Victor Fleming, George Cukor, Mervyn LeRoy, Norman Taurog, Richard Thorpe, King Vidor ","Judy Garland, Frank Morgan, Ray Bolger, Bert Lahr",379014,$2.08M
116,117,Brief Encounter,1945,86 min,"Drama, Romance            ",8,"ing a stranger in a railway station, a woman is tempted to cheat on her husband.",David Lean ,"Celia Johnson, Trevor Howard, Stanley Holloway, Joyce Carey",37948,
117,118,Strangers on a Train,1951,101 min,"Crime, Film-Noir, Thriller            ",8,ychopath forces a tennis star to comply with his theory that two strangers can get away with murder.,Alfred Hitchcock ,"Farley Granger, Robert Walker, Ruth Roman, Leo G. Carroll",128964,$7.63M
118,119,Stalag 17,1953,120 min,"Comedy, Drama, War            ",8," two escaping American World War II prisoners are killed, the German P.O.W. camp barracks black marketeer, J.J. Sefton, is suspected of being an informer.",Billy Wilder ,"William Holden, Don Taylor, Otto Preminger, Robert Strauss",53922,
119,120,The Night of the Hunter,1955,92 min,"Crime, Drama, Film-Noir            ",8,"ligious fanatic marries a gullible widow whose young children are reluctant to tell him where their real daddy hid the $10,000 he'd stolen in a robbery.",Charles Laughton ,"Robert Mitchum, Shelley Winters, Lillian Gish, James Gleason",85354,$0.65M
120,121,The Big Sleep,1946,114 min,"Crime, Film-Noir, Mystery            ",7.9,"ate detective Philip Marlowe is hired by a wealthy family. Before the complex case is over, he's seen murder, blackmail, and what might be love.",Howard Hawks ,"Humphrey Bogart, Lauren Bacall, John Ridgely, Martha Vickers",82505,$6.54M
121,122,Roma città aperta,1945,103 min,"Drama, Thriller, War            ",8.1,"ng the Nazi occupation of Rome in 1944, the Resistance leader, Giorgio Manfredi, is chased by the Nazis as he seeks refuge and a way to escape.",Roberto Rossellini ,"Anna Magnani, Aldo Fabrizi, Marcello Pagliero, Vito Annichiarico",24896,
122,123,La dolce vita,1960,174 min,"Comedy, Drama            ",8,ries of stories following a week in the life of a philandering tabloid journalist living in Rome.,Federico Fellini ,"Marcello Mastroianni, Anita Ekberg, Anouk Aimée, Yvonne Furneaux",69693,$19.52M
123,124,A Night at the Opera,1935,96 min,"Comedy, Music, Musical            ",7.9,y business manager and two wacky friends of two opera singers help them achieve success while humiliating their stuffy and snobbish enemies.,"Sam Wood, Edmund Goulding ","Groucho Marx, Chico Marx, Harpo Marx, Kitty Carlisle",31749,$2.54M
124,125,Scrooge,1951,86 min,"Drama, Fantasy            ",8.1,"ezer Scrooge, a curmudgeonly, miserly businessman, has no time for sentimentality and largely views Christmas as a waste of time. However, this Christmas Eve he will be visited by three spirits who will show him the errors of his ways.",Brian Desmond Hurst ,"Alastair Sim, Jack Warner, Kathleen Harrison, Mervyn Johns",21066,
125,126,What Ever Happened to Baby Jane?,1962,134 min,"Drama, Horror, Thriller            ",8.1,rmer child star torments her paraplegic sister in their decaying Hollywood mansion.,Robert Aldrich ,"Bette Davis, Joan Crawford, Victor Buono, Wesley Addy",52619,$4.05M
126,127,The Hustler,1961,134 min,"Drama, Sport            ",8,p-and-coming pool player plays a long-time champion in a single high-stakes match.,Robert Rossen ,"Paul Newman, Jackie Gleason, Piper Laurie, George C. Scott",78914,$8.28M
127,128,The Philadelphia Story,1940,112 min,"Comedy, Romance            ",7.9," a rich woman's ex-husband and a tabloid-type reporter turn up just before her planned remarriage, she begins to learn the truth about herself.",George Cukor ,"Cary Grant, Katharine Hepburn, James Stewart, Ruth Hussey",66072,
128,129,Roman Holiday,1953,118 min,"Comedy, Romance            ",8,red and sheltered princess escapes her guardians and falls in love with an American newsman in Rome.,William Wyler ,"Gregory Peck, Audrey Hepburn, Eddie Albert, Hartley Power",133021,
129,130,Ugetsu monogatari,1953,96 min,"Drama, Fantasy, War            ",8.2,"le of ambition, family, love, and war set in the midst of the Japanese Civil Wars of the sixteenth century.",Kenji Mizoguchi ,"Masayuki Mori, Machiko Kyô, Kinuyo Tanaka, Mitsuko Mito",22195,$0.01M
130,131,Los olvidados,1950,85 min,"Crime, Drama            ",8.3,"oup of juvenile delinquents lives a violent and crime-filled life in the festering slums of Mexico City, and the morals of young Pedro are gradually corrupted and destroyed by the others.",Luis Buñuel ,"Alfonso Mejía, Roberto Cobo, Estela Inda, Miguel Inclán",19361,
131,132,Cat on a Hot Tin Roof,1958,108 min,Drama            ,8,k is an alcoholic ex-football player who drinks his days away and resists the affections of his wife. A reunion with his terminal father jogs a host of memories and revelations for both father and son.,Richard Brooks ,"Elizabeth Taylor, Paul Newman, Burl Ives, Jack Carson",47245,$17.57M
132,133,The Army of Shadows,1969,145 min,"Drama, War            ",8.2,ccount of underground resistance fighters in Nazi-occupied France.,Jean-Pierre Melville ,"Lino Ventura, Paul Meurisse, Jean-Pierre Cassel, Simone Signoret",22261,$0.74M
133,134,Limelight,1952,137 min,"Drama, Music, Romance            ",8.1,ding comedian and a suicidally despondent ballet dancer must look to each other to find purpose and hope in their lives.,Charles Chaplin ,"Charles Chaplin, Claire Bloom, Nigel Bruce, Buster Keaton",19345,$1.00M
134,135,The Last Picture Show,1971,118 min,"Drama, Romance            ",8,"951, a group of high schoolers come of age in a bleak, isolated, atrophied North Texas town that is slowly dying, both culturally and economically.",Peter Bogdanovich ,"Timothy Bottoms, Jeff Bridges, Cybill Shepherd, Ben Johnson",44870,$29.13M
135,136,The Ox-Bow Incident,1942,75 min,"Drama, Western            ",8," a posse captures three men suspected of killing a local farmer, they become strongly divided over whether or not to lynch the men.",William A. Wellman ,"Henry Fonda, Dana Andrews, Mary Beth Hughes, Anthony Quinn",22218,$1.64M
136,137,Le cercle rouge,1970,140 min,"Crime, Drama, Thriller            ",8,"r leaving prison, master thief Corey crosses paths with a notorious escapee and an alcoholic former policeman. The trio proceed to plot an elaborate heist.",Jean-Pierre Melville ,"Alain Delon, Bourvil, Gian Maria Volontè, Yves Montand",23841,$0.37M
137,138,Sleuth,1972,138 min,"Mystery, Thriller            ",8,"n who loves games and theater invites his wife's lover to meet him, setting up a battle of wits with potentially deadly results.",Joseph L. Mankiewicz ,"Laurence Olivier, Michael Caine, Alec Cawthorne, John Matthews",46328,$4.08M
138,139,Pather Panchali,1955,125 min,Drama            ,8.5,"verished priest Harihar Ray, dreaming of a better life for himself and his family, leaves his rural Bengal village in search of work.",Satyajit Ray ,"Kanu Bannerjee, Karuna Bannerjee, Subir Banerjee, Chunibala Devi",28072,$0.54M
139,140,Warui yatsu hodo yoku nemuru,1960,151 min,"Crime, Drama, Thriller            ",8,ngeful young man marries the daughter of a corrupt industrialist in order to seek justice for his father's suicide.,Akira Kurosawa ,"Toshirô Mifune, Masayuki Mori, Kyôko Kagawa, Tatsuya Mihashi",11961,
140,141,Arsenic and Old Lace,1943,118 min,"Comedy, Crime, Thriller            ",8,iter of books on the futility of marriage risks his reputation when he decides to get married. Things get even more complicated when he learns on his wedding day that his beloved maiden aunts are habitual murderers.,Frank Capra ,"Cary Grant, Priscilla Lane, Raymond Massey, Jack Carson",68333,
141,142,Bringing Up Baby,1938,102 min,"Comedy, Family, Romance            ",7.9,"e trying to secure a $1 million donation for his museum, a befuddled paleontologist is pursued by a flighty and often irritating heiress and her pet leopard, Baby.",Howard Hawks ,"Katharine Hepburn, Cary Grant, Charles Ruggles, Walter Catlett",58814,
142,143,Dai-bosatsu tôge,1966,120 min,"Action, Drama            ",8,"ugh his unconscionable actions against others, a sociopath samurai builds a trail of vendettas that follow him closely.",Kihachi Okamoto ,"Tatsuya Nakadai, Michiyo Aratama, Yûzô Kayama, Yôko Naitô",10395,
143,144,The Man Who Shot Liberty Valance,1962,123 min,"Drama, Western            ",8.1,nator returns to a western town for the funeral of an old friend and tells the story of his origins.,John Ford ,"James Stewart, John Wayne, Vera Miles, Lee Marvin",72280,
144,145,The Killing,1956,84 min,"Crime, Drama, Film-Noir            ",8,k Johnny Clay assembles a five-man team to plan and execute a daring racetrack robbery.,Stanley Kubrick ,"Sterling Hayden, Coleen Gray, Vince Edwards, Jay C. Flippen",85398,
145,146,Solaris,1972,167 min,"Drama, Mystery, Sci-Fi            ",8.1,ychologist is sent to a station orbiting a distant planet in order to discover what has caused the crew to go insane.,Andrei Tarkovsky ,"Natalya Bondarchuk, Donatas Banionis, Jüri Järvet, Vladislav Dvorzhetskiy",86423,
