,id,name,year,run_time,genre,rating,about,director,actors,votes,gross
164,165,Köshpendiler,2005,112 min,"Drama, History, War            ",5.9,"storical epic set in 18th-century Kazakhstan, where a young man is destined to unite the country's three warring tribes.","Sergei Bodrov, Ivan Passer ","Kuno Becker, Jason Scott Lee, Jay Hernandez, Doskhan Zholzhaksynov",3816,$0.08M
165,166,Kandagar,2010,103 min,"Action, Drama, War            ",6.7,"d on the true story of five Russian pilots captured by the Taliban. They are forced to spend three-hundred-seventy-eight days in hell, while facing questions of loyalty, survival and planing their treacherous escape route home.",Andrey Kavun ,"Aleksandr Baluev, Yury Belyayev, Bogdan Benyuk, Aleksandr Golubev",1983,
166,167,Turetskiy gambit,2005,208 min,"Action, Drama, Mystery            ",7,"film is based on the second book from the Adventures of Erast Petrovich Fandorin series of novels written by the Russian author Boris Akunin. The film takes place in 1877 during the ...                See full summary »
",Dzhanik Fayziev ,"Egor Beroev, Olga Krasko, Marat Basharov, Vladimir Ilin",4404,
167,168,Coriolanus,2011,123 min,"Drama, Thriller, War            ",6.1,nished hero of Rome allies with a sworn enemy to take his revenge on the city.,Ralph Fiennes ,"Ralph Fiennes, Gerard Butler, Brian Cox, Lubna Azabal",31680,$0.76M
168,169,Le puits,2015,96 min,Drama            ,7.8,"during the Algerian War of Independence. In the film, the French army surrounds a southern Algerian village where they believe an enemy is being hidden and force the inhabitants to either confront the issue or die of thirst.",Lotfi Bouchouchi ,"Nadia Kaci, Laurent Maurel, Layla Metssitane, Ourais Achour",427,
169,170,Che: Part Two,2008,135 min,"Biography, Drama, History            ",6.9,"967, Ernesto 'Che' Guevara leads a small partisan army to fight an ill-fated revolutionary guerrilla war in Bolivia, South America.",Steven Soderbergh ,"Demián Bichir, Rodrigo Santoro, Benicio Del Toro, Catalina Sandino Moreno",33055,
170,171,The Wall,II) ,88 min,"Action, Drama, Thriller            ",6.2,"American Soldiers are trapped by a lethal sniper, with only an unsteady wall between them.",Doug Liman ,"Aaron Taylor-Johnson, John Cena, Laith Nakli",25606,$1.80M
171,172,Megan Leavey,2017,116 min,"Action, Biography, Drama            ",7.1,d on the true life story of a young Marine corporal whose unique discipline and bond with her military combat dog saved many lives during their deployment in Iraq.,Gabriela Cowperthwaite ,"Kate Mara, Ramon Rodriguez, Tom Felton, Bradley Whitford",22703,$13.41M
172,173,Last Flag Flying,2017,125 min,"Comedy, Drama, War            ",6.9,"ty years after they served together in Vietnam, a former Navy Corpsman Larry ""Doc"" Shepherd re-unites with his old buddies, former Marines Sal Nealon and Reverend Richard Mueller, to bury his son, a young Marine killed in the Iraq War.",Richard Linklater ,"Bryan Cranston, Laurence Fishburne, Steve Carell, J. Quinton Johnson",24224,$0.97M
173,174,American Sniper,2014,133 min,"Action, Biography, Drama            ",7.3," S.E.A.L. sniper Chris Kyle's pinpoint accuracy saves countless lives on the battlefield and turns him into a legend. Back home with his family after four tours of duty, however, Chris finds that it is the war he can't leave behind.",Clint Eastwood ,"Bradley Cooper, Sienna Miller, Kyle Gallner, Cole Konis",456164,$350.13M
