,id,name,year,run_time,genre,rating,about,director,actors,votes,gross
10,11,Kôdo giasu - Hangyaku no rurûshu: Code Geass - Lelouch of the Rebellion,2006,24 min,"Animation, Action, Drama            ",8.7,"r being given a mysterious power to control others, an outcast prince becomes the masked leader of the rebellion against an all powerful empire",,"Jun Fukuyama, Johnny Yong Bosch, Yuri Lowenthal, Takahiro Sakurai",56992,
11,12,Hagane no renkinjutsushi,2003,24 min,"Animation, Action, Adventure            ",8.5," a failed alchemical ritual leaves brothers Edward and Alphonse Elric with severely damaged bodies, they begin searching for the one thing that can save them; the fabled philosopher's stone.",,"Vic Mignogna, Aaron Dismuke, Romi Park, Rie Kugimiya",65523,
12,13,Monster,2004,24 min,"Animation, Crime, Drama            ",8.6,illiant neurosurgeon living in Germany finds his life in utter turmoil after getting involved with a psychopath that was once a former patient.,,"Hidenobu Kiuchi, Liam O'Brien, Mamiko Noto, Karen Strassman",23690,
13,14,Kenpû Denki Berserk,1997,23 min,"Animation, Action, Adventure            ",8.7," is a skilled swordsman who joins forces with a mercenary group named 'The Band of the Hawk', lead by the charismatic Griffith, and fights with them as they battle their way into the royal court.",,"Nobutoshi Canna, Marc Diraison, Carrie Keranen, Kevin T. Collins",31980,
14,15,Rurouni Kenshin: Meiji Kenkaku Romantan: Tsuioku Hen,1999,118 min,"Animation, Action, Adventure            ",8.6,"he era of Japan's Meiji Restoration, an assassin regains his humanity.",,"Mayo Suzukaze, Junko Iwao, Nozomu Sasaki, Masami Suzuki",13968,
15,16,Samurai chanpurû,2004,24 min,"Animation, Action, Adventure            ",8.5," a waitress who works in a teahouse, rescues two master swordsmen, Mugen and Jin, from their execution to help her find the ""samurai who smells of sunflowers.""",,"Kazuya Nakai, Ginpei Sato, Ayako Kawasumi, Steve Blum",43553,
16,17,Rurôni Kenshin - Meiji kenkaku romantan,1996,24 min,"Animation, Action, Adventure            ",8.5,adventures of a young wandering swordsman who stumbles upon a struggling martial arts school in Meiji era Japan.,,"Mayo Suzukaze, Richard Cansino, Dorothy Elias-Fahn, Rebecca Forstadt",18472,
17,18,Shin seiki evangerion,1995,24 min,"Animation, Action, Drama            ",8.5,enage boy finds himself recruited as a member of an elite team of pilots by his father.,,"Megumi Ogata, Megumi Hayashibara, Kotono Mitsuishi, Spike Spencer",57035,
18,19,Dragon Ball: Doragon bôru,1986,24 min,"Animation, Action, Adventure            ",8.5,"Gokû, a fighter with a monkey tail, goes on a quest with an assortment of odd characters in search of the Dragon Balls, a set of crystals that can give its bearer anything they desire.",,"Masako Nozawa, Jôji Yanami, Brice Armstrong, Stephanie Nadolny",51780,
19,20,Dragon Ball,1995,24 min,"Animation, Action, Adventure            ",8.5,"on Ball tells the tale of a young warrior by the name of Son Goku, a young peculiar boy with a tail who embarks on a quest to become stronger and learns of the Dragon Balls, when, once all 7 are gathered, grant any wish of choice.",,"Brice Armstrong, Steve Olson, Stephanie Nadolny, Zoe Slusar",56196,
20,21,Kôkaku kidôtai: Stand Alone Complex,2002,24 min,"Animation, Action, Crime            ",8.5,futuristic adventures of a female cyborg counter intelligence agent and her support team.,,"Shirô Saitô, Mary Elizabeth McGlynn, William Frederick Knight, Richard Epcar",18614,
21,22,Naruto: Shippûden,2007,24 min,"Animation, Action, Adventure            ",8.6,"to Uzumaki, is a loud, hyperactive, adolescent ninja who constantly searches for approval and recognition, as well as to become Hokage, who is acknowledged as the leader and strongest of all ninja in the village.",,"Junko Takeuchi, Maile Flanagan, Kate Higgins, Chie Nakamura",97547,
22,23,Kiseijû: Sei no kakuritsu,2014,22 min,"Animation, Action, Horror            ",8.3,"ear-old Shinichi Izumi is partially infected by a Parasyte; monsters that butcher and consume humans. He must learn to co-exist with the creature if he is to survive both the life of a Parasyte and human, as part monster, part person.",,"Adam Gibbs, Aya Hirano, Brittney Karbowski, Nobunaga Shimazaki",29892,
23,24,Mushishi,2005,25 min,"Animation, Drama, Fantasy            ",8.5,"o is an expert travelling around to investigate a primeval life-form, the ""Mushi,"" and helping people with Mushi-related supernatural problems.",,"Yûto Nakano, Travis Willingham, Kôjun Itô, Jennifer Seman",12534,
24,25,Yu yu hakusho,1992,24 min,"Animation, Action, Adventure            ",8.4,"day, 14-year-old Yusuke Urameshi suddenly finds himself dead, having died pushing a child out of the way of oncoming traffic. Since he has such a bad personality, even the Spirit World ...                See full summary »
",,"Nozomu Sasaki, Justin Cook, Christopher Sabat, Cynthia Cranz",12495,
25,26,Hellsing Ultimate,2006,50 min,"Animation, Action, Fantasy            ",8.3,"vampire Alucard, his master Sir Integra Fairbrook Wingates Hellsing, and his newly sired ward Seras Victoria, try to protect England from a war-crazed SS-Major who seeks to start an eternal war with his vampire army.",,"Katie Gray, Crispin Freeman, Victoria Harwood, Ralph Lister",21061,
26,27,Meitantei Conan,1996,25 min,"Animation, Action, Adventure            ",8.4,cases of a detective whose physical age was chemically reversed to that of a prepubescent boy but must hide his true mental development.,,"Minami Takayama, Wakana Yamazaki, Hoang Khuyet, Akira Kamiya",11825,
27,28,Ôran kôkô hosutobu,2006,24 min,"Animation, Comedy, Romance            ",8.2,"rl at a prestigious school befriends the members of a ""host club"".",,"Maaya Sakamoto, Mamoru Miyano, Masaya Matsukaze, Kenichi Suzumura",8994,
28,29,Baccano!,2007,384 min,"Animation, Action, Adventure            ",8.3,"azy fantasy caper involving alchemists, immortals, gangsters, outlaws and an elixir of immortality, spread over several decades.",,"Michael C. Pizzuto, J. Michael Tatum, Caitlin Glass, Akemi Kanda",11080,
29,30,Dragon Ball Kai: Doragon bôru kai,2009,24 min,"Animation, Action, Adventure            ",8.2,D and enhanced remaster of Dragon Ball Z.,,"Masako Nozawa, Jôji Yanami, Sean Schemmel, Richard Ian Cox",21720,
30,31,Trigun,1998,24 min,"Animation, Action, Adventure            ",8.3, the Stampede is the most infamous outlaw on the planet Gunsmoke and with a 60 billion double dollar price on his head the most sought after!,,"Masaya Onosaka, Hiromi Tsuru, Satsuki Yukino, Johnny Yong Bosch",20240,
31,32,Tengen toppa gurren lagann,2007,24 min,"Animation, Action, Adventure            ",8.3,"friends, Simon and Kamina, become the symbols of rebellion against the powerful Spiral King, who forced mankind into subterranean villages.",,"Yuri Lowenthal, Kana Asumi, Steve Blum, Johnny Yong Bosch",15966,
32,33,FLCL,2000,151 min,"Animation, Action, Comedy            ",8.2,"-year old boy named Naota one day meets a strange woman, riding a Vespa and wielding a big guitar. As soon as she appears, mysterious things start happening.",,"Jun Mizuki, Mayumi Shintani, Izumi Kasagi, Suzuki Matsuo",16253,
33,34,Psycho-Pass,2012,25 min,"Animation, Action, Crime            ",8.2,"eving in humanity and order, policewoman Akane Tsunemori obeys the ruling, computerized, precognitive Sibyl System. But when she faces a criminal mastermind who can elude this ""perfect"" system, she questions both Sibyl and herself.",,"Kana Hanazawa, Miyuki Sawashiro, Noriko Hidaka, Shizuka Itô",17093,
