,id,name,year,run_time,genre,rating,about,director,actors,votes,gross
45,46,Aquaman,2018,143 min,"Action, Adventure, Fantasy            ",6.9,"ur Curry, the human-born heir to the underwater kingdom of Atlantis, goes on a quest to prevent a war between the worlds of ocean and land.",James Wan ,"Jason Momoa, Amber Heard, Willem Dafoe, Patrick Wilson",412719,$335.06M
46,47,Blaze,2018,129 min,"Biography, Drama, Music            ",6.6,"imagining of the life and times of Blaze Foley, the unsung songwriting legend of the Texas Outlaw Music movement.",Ethan Hawke ,"Ben Dickey, Alia Shawkat, Josh Hamilton, Charlie Sexton",3071,$0.07M
47,48,Green Book,2018,130 min,"Biography, Comedy, Drama            ",8.2,rking-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South.,Peter Farrelly ,"Viggo Mortensen, Mahershala Ali, Linda Cardellini, Sebastian Maniscalco",422336,$85.08M
48,49,Bohemian Rhapsody,2018,134 min,"Biography, Drama, Music            ",7.9,"story of the legendary British rock band Queen and lead singer Freddie Mercury, leading up to their famous performance at Live Aid (1985).",Bryan Singer ,"Rami Malek, Lucy Boynton, Gwilym Lee, Ben Hardy",482409,$216.43M
49,50,Museo,2018,128 min,"Crime, Drama            ",6.9,"985, a group of criminals mock the security of the National Museum of Anthropology in Mexico City to extract 140 pre-Hispanic pieces from their showcases.",Alonso Ruizpalacios ,"Gael García Bernal, Lynn Gilmartin, Simon Russell Beale, Ilse Salas",5240,$0.15M
50,51,Kodachrome,2017,105 min,Drama            ,6.8,"during the final days of the admired photo development system known as Kodachrome, a father and son hit the road in order to reach the Kansas photo lab before it closes its doors for good.",Mark Raso ,"Ed Harris, Jason Sudeikis, Elizabeth Olsen, Bruce Greenwood",14256,
51,52,At Eternity's Gate,2018,111 min,"Biography, Drama            ",6.9,"ok at the life of painter Vincent van Gogh during the time he lived in Arles and Auvers-sur-Oise, France.",Julian Schnabel ,"Willem Dafoe, Rupert Friend, Oscar Isaac, Mads Mikkelsen",31366,$2.29M
52,53,Mr. & Mrs. Smith,2005,120 min,"Action, Comedy, Crime            ",6.5,red married couple is surprised to learn that they are both assassins hired by competing agencies to kill each other.,Doug Liman ,"Brad Pitt, Angelina Jolie, Adam Brody, Vince Vaughn",464728,$186.34M
53,54,Sully,2016,96 min,"Biography, Drama            ",7.4,"story of Chesley ""Sully"" Sullenberger (Tom Hanks), an American pilot who became a hero after landing his damaged plane on the Hudson River in order to save the flight's passengers and crew.",Clint Eastwood ,"Tom Hanks, Aaron Eckhart, Laura Linney, Valerie Mahaffey",251230,$125.07M
54,55,De dirigent,2018,137 min,"Biography, Drama            ",7.3,"nia Brico dreams of becoming a conductor, but she isn't taken seriously because she is a woman.",Maria Peters ,"Christanne de Bruijn, Benjamin Wainwright, Scott Turner Schofield, Seumas F. Sargent",2964,
55,56,Brexit: The Uncivil War,2019,92 min,"Biography, Drama, History            ",7,tical strategist Dominic Cummings leads a popular but controversial campaign to convince British voters to leave the European Union from 2015 up until the present day.,Toby Haynes ,"Benedict Cumberbatch, Sarah Belcher, Malcolm Freeman, Lucy Russell",15532,
